sample_id,topic_id,gold_label,success,candidate_count,initial_contract_valid,initial_contract_errors,retry_triggered,full_arbitration_status,full_final_score,full_predicted_label,no_retry_status,no_retry_final_score,no_retry_predicted_label,total_ms,started_at_utc,error
NEWS-EVAL-001,T01,可信新闻,True,10,True,,False,ok,91.7,可信新闻,initial_contract_ok,91.7,可信新闻,24749.17,2026-07-01T15:14:33.797805+00:00,
NEWS-EVAL-002,T01,存疑信息,True,10,False,provider_error,False,provider_error,100.0,可信新闻,provider_error,100.0,可信新闻,36757.95,2026-07-01T15:23:48.878716+00:00,
NEWS-EVAL-003,T01,疑似谣言,True,10,True,,False,ok,77.8,存疑信息,initial_contract_ok,77.8,存疑信息,29927.89,2026-07-02T04:45:40.729713+00:00,
NEWS-EVAL-004,T01,高风险谣言,True,10,True,,False,ok,55.0,疑似谣言,initial_contract_ok,55.0,疑似谣言,13734.25,2026-07-02T04:45:54.467327+00:00,
NEWS-EVAL-005,T02,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,13775.53,2026-07-02T04:46:08.247552+00:00,
NEWS-EVAL-006,T02,存疑信息,True,10,True,,False,ok,37.4,高风险谣言,initial_contract_ok,37.4,高风险谣言,20936.7,2026-07-01T15:14:54.738948+00:00,
NEWS-EVAL-007,T02,疑似谣言,True,10,True,,False,ok,80.9,可信新闻,initial_contract_ok,80.9,可信新闻,27745.25,2026-07-01T15:24:16.627630+00:00,
NEWS-EVAL-008,T02,高风险谣言,True,10,True,,False,ok,42.4,疑似谣言,initial_contract_ok,42.4,疑似谣言,19954.85,2026-07-02T04:46:28.205933+00:00,
NEWS-EVAL-009,T03,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,16422.28,2026-07-02T04:46:44.631670+00:00,
NEWS-EVAL-010,T03,存疑信息,True,10,True,,False,ok,51.8,疑似谣言,initial_contract_ok,51.8,疑似谣言,29951.84,2026-07-02T04:47:14.587520+00:00,
NEWS-EVAL-011,T03,疑似谣言,True,10,False,provider_error,False,provider_error,80.0,可信新闻,provider_error,80.0,可信新闻,30826.95,2026-07-01T15:15:25.569488+00:00,
NEWS-EVAL-012,T03,高风险谣言,True,10,True,,False,ok,48.2,疑似谣言,initial_contract_ok,48.2,疑似谣言,29086.49,2026-07-01T15:24:45.718086+00:00,
NEWS-EVAL-013,T04,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,17794.92,2026-07-01T15:25:03.516060+00:00,
NEWS-EVAL-014,T04,存疑信息,True,10,True,,False,ok,47.4,疑似谣言,initial_contract_ok,47.4,疑似谣言,19337.37,2026-07-02T04:47:33.927828+00:00,
NEWS-EVAL-015,T04,疑似谣言,True,10,True,,False,ok,35.7,高风险谣言,initial_contract_ok,35.7,高风险谣言,22814.14,2026-07-02T04:47:56.745668+00:00,
NEWS-EVAL-016,T04,高风险谣言,True,10,True,,False,ok,43.6,疑似谣言,initial_contract_ok,43.6,疑似谣言,25752.65,2026-07-01T15:15:51.326720+00:00,
NEWS-EVAL-017,T05,可信新闻,True,10,True,,False,ok,93.5,可信新闻,initial_contract_ok,93.5,可信新闻,13581.83,2026-07-01T15:16:04.912650+00:00,
NEWS-EVAL-018,T05,存疑信息,True,10,True,,False,ok,49.9,疑似谣言,initial_contract_ok,49.9,疑似谣言,26009.23,2026-07-01T15:25:29.529271+00:00,
NEWS-EVAL-019,T05,疑似谣言,True,10,True,,False,ok,39.7,高风险谣言,initial_contract_ok,39.7,高风险谣言,25176.69,2026-07-02T04:48:21.925411+00:00,
NEWS-EVAL-020,T05,高风险谣言,True,10,True,,False,ok,45.3,疑似谣言,initial_contract_ok,45.3,疑似谣言,25862.09,2026-07-02T04:48:47.791490+00:00,
NEWS-EVAL-021,T06,可信新闻,True,10,True,,False,ok,91.7,可信新闻,initial_contract_ok,91.7,可信新闻,15789.89,2026-07-02T04:49:03.585535+00:00,
NEWS-EVAL-022,T06,存疑信息,True,10,True,,False,ok,54.8,疑似谣言,initial_contract_ok,54.8,疑似谣言,21066.92,2026-07-01T15:16:25.982934+00:00,
NEWS-EVAL-023,T06,疑似谣言,True,10,True,,False,ok,87.4,可信新闻,initial_contract_ok,87.4,可信新闻,29711.36,2026-07-01T15:25:59.243962+00:00,
NEWS-EVAL-024,T06,高风险谣言,True,10,True,,False,ok,52.0,疑似谣言,initial_contract_ok,52.0,疑似谣言,21186.76,2026-07-02T04:49:24.776813+00:00,
