sample_id,topic_id,gold_label,policy,isolated_local_kb_count,success,web_triggered,web_candidate_count,web_effective_count,candidate_count,effective_evidence_count,final_score,predicted_label,arbitration_status,total_ms,stage_timings_ms,started_at_utc,error
NEWS-EVAL-001,T01,可信新闻,Local-only,0,True,False,0,0,0,0,89.0,可信新闻,no_evidence,19564.96,"{""extract_keywords"": 4.31, ""local_retrieval"": 0.01, ""analyze_news_credibility"": 19544.19, ""calculate_rule_score"": 0.27, ""database_save_mock"": 0.04}",2026-07-01T09:32:09.646320+00:00,
NEWS-EVAL-001,T01,可信新闻,Local+Web,0,True,True,5,0,5,0,80.0,可信新闻,provider_error,30750.06,"{""extract_keywords"": 0.27, ""local_retrieval"": 0.01, ""search_evidence"": 499.32, ""analyze_news_credibility"": 30241.45, ""calculate_rule_score"": 0.17, ""database_save_mock"": 0.03}",2026-07-01T09:32:29.213509+00:00,
NEWS-EVAL-006,T02,存疑信息,Local-only,0,True,False,0,0,0,0,50.0,疑似谣言,no_evidence,20411.05,"{""extract_keywords"": 0.16, ""local_retrieval"": 0.0, ""analyze_news_credibility"": 20404.45, ""calculate_rule_score"": 0.16, ""database_save_mock"": 0.03}",2026-07-01T09:32:59.965443+00:00,
NEWS-EVAL-006,T02,存疑信息,Local+Web,0,True,True,5,1,5,1,41.0,疑似谣言,ok,26933.41,"{""extract_keywords"": 0.18, ""local_retrieval"": 0.01, ""search_evidence"": 407.95, ""analyze_news_credibility"": 26513.84, ""calculate_rule_score"": 0.51, ""database_save_mock"": 0.04}",2026-07-01T09:33:20.378072+00:00,
NEWS-EVAL-012,T03,高风险谣言,Local-only,0,True,False,0,0,0,0,97.0,可信新闻,no_evidence,27799.76,"{""extract_keywords"": 0.26, ""local_retrieval"": 0.01, ""analyze_news_credibility"": 27791.62, ""calculate_rule_score"": 0.16, ""database_save_mock"": 0.03}",2026-07-01T09:33:47.314430+00:00,
NEWS-EVAL-012,T03,高风险谣言,Local+Web,0,True,True,5,0,5,0,100.0,可信新闻,provider_error,30600.85,"{""extract_keywords"": 0.16, ""local_retrieval"": 0.0, ""search_evidence"": 420.87, ""analyze_news_credibility"": 30171.04, ""calculate_rule_score"": 0.15, ""database_save_mock"": 0.03}",2026-07-01T09:34:15.115682+00:00,
NEWS-EVAL-015,T04,疑似谣言,Local-only,0,True,False,0,0,0,0,80.0,可信新闻,no_evidence,23807.71,"{""extract_keywords"": 3.96, ""local_retrieval"": 0.01, ""analyze_news_credibility"": 23785.75, ""calculate_rule_score"": 0.17, ""database_save_mock"": 0.03}",2026-07-01T10:12:42.683320+00:00,
NEWS-EVAL-015,T04,疑似谣言,Local+Web,0,True,True,5,1,5,1,26.0,高风险谣言,ok,23695.62,"{""extract_keywords"": 0.28, ""local_retrieval"": 0.01, ""search_evidence"": 420.09, ""analyze_news_credibility"": 23264.03, ""calculate_rule_score"": 0.34, ""database_save_mock"": 0.07}",2026-07-01T10:13:06.493395+00:00,
NEWS-EVAL-017,T05,可信新闻,Local-only,0,True,False,0,0,0,0,89.0,可信新闻,no_evidence,11184.98,"{""extract_keywords"": 0.21, ""local_retrieval"": 0.01, ""analyze_news_credibility"": 11176.59, ""calculate_rule_score"": 0.28, ""database_save_mock"": 0.03}",2026-07-01T10:13:30.194218+00:00,
NEWS-EVAL-017,T05,可信新闻,Local+Web,0,True,True,5,0,5,0,80.0,可信新闻,provider_error,31125.24,"{""extract_keywords"": 0.26, ""local_retrieval"": 0.01, ""search_evidence"": 432.59, ""analyze_news_credibility"": 30682.43, ""calculate_rule_score"": 0.25, ""database_save_mock"": 0.03}",2026-07-01T10:13:41.381519+00:00,
