sample_id,topic_id,split,title,content,source_record_ids,reviewer_1_id,reviewer_1_type,reviewer_1_label,reviewer_1_reason,reviewer_1_sources,reviewer_2_id,reviewer_2_type,reviewer_2_label,reviewer_2_reason,reviewer_2_sources,gold_label,adjudication_reason,human_review_status
CFEVER-DEV-10186,ed7090cf96c68fac,train,待核验原始主张,致力革除「讀書爲官」之舊俗的蔡元培是中國近代民族學研究的先驅。,10186,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-10504,377eb997040e7bc2,dev,待核验原始主张,臺北市私立滬江高級中學，位在臺灣臺北市文山區 ， 附近有景美溪 、 景美夜市 、 世新大學 。,10504,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-10642,b0f41fba9c4cf256,train,待核验原始主张,在1949年前一直被英屬印度統治的科奇比哈爾土邦，後來被併入西孟加拉邦和東巴基斯坦。,10642,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-11539,b2ff70d7cb32ae5e,train,待核验原始主张,鹽水區歷史第二久的國小是建校於1919年的臺南市鹽水區歡雅國民小學，班級數共七班。,11539,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-11686,2646cfc2e8dc78b8,train,待核验原始主张,位於日本鳥取縣的倉吉市，現任市長是石田耕太郎，木星會通過倉吉市。,11686,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-12267,3948873ae73b3279,train,待核验原始主张,功績是抵擋曹操的南征以及瓦解劉備勢力的呂蒙是孫權麾下的勢力，併爲四大都督之一。,12267,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-12279,7884c93ffe6887d7,train,待核验原始主张,生於日本大阪府的手冢治虫是現代日本動畫的創立者，創作出《原子小金剛》、《怪醫黑傑克》等知名作品深深影響著許多新生代漫畫家。,12279,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-12335,a2d955d616a7f9ec,test,待核验原始主张,從法國巴黎阻止的超現實主義，給傳統對藝術的看法有了巨大的影響，盛行於1920年至1930年的歐洲。,12335,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-12468,1ac6dedebc889a71,test,待核验原始主张,臺南市歷史的大約3000年前 ， 出現了擁有稻作技術的左鎮人文化 ， 之後的兩千多年以來都持續是平埔族的世居地 。,12468,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-12813,48264c99fa438a7c,test,待核验原始主张,白先勇的小說集《臺北人》是在描寫在臺北長大的人的生活。,12813,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-13031,266058fdc0e1b694,train,待核验原始主张,臺灣檢警人員認爲VoIP難以學習，若成爲詐騙集團的工具，檢警人員偵辦難度會提升。,13031,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-13359,b7231c7f6f0a34cc,train,待核验原始主张,種植業包含火箭、水槍、金屬等，其中園林也稱庭園。,13359,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-1353,ed7090cf96c68fac,train,待核验原始主张,蔡元培被點翰林院庶吉士 ，於翰林院內學習，後任中華民國首任教育總長。,1353,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-13533,b7231c7f6f0a34cc,train,待核验原始主张,歡雅國小創建於民國八年3月27日，本來是今鹽水國小的分學校。,13533,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-1391,637c14f81cf783cf,dev,待核验原始主张,導彈的對付目標作用可以簡單地分爲戰略和戰術。,1391,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-14387,05ddfcb877811faa,train,待核验原始主张,唐朝的王果是王雄誕的兒子，曾討伐並平定了叛唐的獠人。,14387,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-14511,2646cfc2e8dc78b8,train,待核验原始主张,潮州市鄰近廣東省，潮州市地勢北高南低，山區約佔全市陸地面積的65.2%。,14511,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-14922,3ae9bf3d6bf34066,train,待核验原始主张,2000年7月開始發行流通的第五套橫式新臺幣有機器辨識功能，發行銀行自臺灣銀行改爲中央銀行。,14922,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-15046,1adb125af89123bc,test,待核验原始主张,地神五代之一的火折尊爲日本傳說中的葦原中國治天 ， 爲神武天皇 （ 日本第1代天皇 ） 的信仰 。,15046,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-15272,db55f99e9ed3884f,dev,待核验原始主张,新華網是新華通訊社的官方網站，由30多個地方頻道和十多家子網站組成，是世界最重要的中文新聞網站之一。,15272,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-15393,b4eb7186a173c8e5,train,待核验原始主张,現時阿根廷收入最高的公司是成立於1966年的達契亞汽車，已於1999年被收購。,15393,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-15547,fc95dff5b1b0aa76,test,待核验原始主张,位於臺北市文山區的臺北市立景美女子高級中學爲第一所由臺灣人創立的公立女子高級中學，離心於1962年。,15547,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-15853,7e46c1befb87c490,train,待核验原始主张,主祭神是宇迦之御魂神、日本武尊、保食神的花園神社在德川家康1590年進入江戶時就已經存在，目前位於日本東京都。,15853,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-16040,2646cfc2e8dc78b8,train,待核验原始主张,屬於喬治亞州的皮奇縣英文名爲Peach Count，其命名是因爲以該州最有名的水果桃子的英語Peach而來。,16040,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-16154,f141c43efbf7a9fe,train,待核验原始主张,1989年民主運動包含中國人民解放軍、武裝警察部隊和人民警察在北京天安門廣場對示威集會進行的武力清場行動，即六四事件，事件後據中國政府官方統計非軍人200餘人死亡。,16154,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-17419,05ddfcb877811faa,train,待核验原始主张,亞洲政治家伍廷芳是首位取得外國律師資格的華人，與妻子育有一小孩。,17419,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-17837,b7231c7f6f0a34cc,train,待核验原始主张,臺南市立建興國民中學校內有一棟歷史建築，建築於1917年。,17837,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-18031,03760946a497360c,train,待核验原始主张,約翰·馮·諾伊曼從小時候就以他過人的智力與記憶力出名，一生中大概發表了150篇左右的論文。,18031,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-18157,f141c43efbf7a9fe,train,待核验原始主张,私人銀行服務的月均利潤率可達到35 % ， 遠高於其他金融服務。,18157,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-18231,056f5ece340a874c,dev,待核验原始主张,臺北市的仁愛路行經的行政區域只有大安區。,18231,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-1825,fea6eaff23282acc,test,待核验原始主张,波爾布特是東突厥政治人物沙洛特紹的化名。,1825,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-18281,05ddfcb877811faa,train,待核验原始主张,黃桂蘭出生於安徽省廬州府合肥縣 ，爲唐朝的軍事將領。,18281,,,,,,,,,,,,,pending_independent_review
CFEVER-DEV-18284,05ddfcb877811faa,train,待核验原始主张,出生於安徽省廬州府合肥縣的黃桂蘭爲清朝的軍事將領。,18284,,,,,,,,,,,,,pending_independent_review
