issue_type,sample_id,related_ids,field,details,severity,check_scope
duplicate_url,NEWS-EVAL-001,"NEWS-EVAL-002,NEWS-EVAL-003,NEWS-EVAL-004",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-002,"NEWS-EVAL-001,NEWS-EVAL-003,NEWS-EVAL-004",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-003,"NEWS-EVAL-001,NEWS-EVAL-002,NEWS-EVAL-004",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-004,"NEWS-EVAL-001,NEWS-EVAL-002,NEWS-EVAL-003",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-005,"NEWS-EVAL-006,NEWS-EVAL-007,NEWS-EVAL-008",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-006,"NEWS-EVAL-005,NEWS-EVAL-007,NEWS-EVAL-008",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-007,"NEWS-EVAL-005,NEWS-EVAL-006,NEWS-EVAL-008",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-008,"NEWS-EVAL-005,NEWS-EVAL-006,NEWS-EVAL-007",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-009,"NEWS-EVAL-010,NEWS-EVAL-011,NEWS-EVAL-012",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-010,"NEWS-EVAL-009,NEWS-EVAL-011,NEWS-EVAL-012",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-011,"NEWS-EVAL-009,NEWS-EVAL-010,NEWS-EVAL-012",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-012,"NEWS-EVAL-009,NEWS-EVAL-010,NEWS-EVAL-011",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-013,"NEWS-EVAL-014,NEWS-EVAL-015,NEWS-EVAL-016",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-014,"NEWS-EVAL-013,NEWS-EVAL-015,NEWS-EVAL-016",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-015,"NEWS-EVAL-013,NEWS-EVAL-014,NEWS-EVAL-016",url,url在4条样本中完全重复,warning,offline
duplicate_url,NEWS-EVAL-016,"NEWS-EVAL-013,NEWS-EVAL-014,NEWS-EVAL-015",url,url在4条样本中完全重复,warning,offline
