sample_id,gold_label,predicted_label,final_score,success,error_type,total_latency_ms,parse_latency_ms,local_retrieval_latency_ms,web_search_latency_ms,llm_latency_ms,report_latency_ms,web_search_allowed,web_search_triggered,web_trigger_reason,local_candidate_count,top_similarity,retrieved_knowledge_ids,evidence_count,valid_evidence_count,citation_fields_complete,llm_parse_fallback_used,created_at,is_demo,relevant_knowledge_ids,reviewer_1_label,reviewer_2_label,is_timeout,embedding_failed,chroma_failed,web_search_failed,save_failed,evidence_has_valid_url,has_evidence_insufficient_hint,error_message
NEWS-EVAL-001,可信新闻,可信新闻,91.7,True,,26499.0,,,,,,True,False,,10,0.8771,"224,147,35,145,134,36,136,61,34,84",1,1,True,False,2026-06-28T08:15:56.943068+00:00,False,224,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-002,存疑信息,可信新闻,85.0,True,,52655.87,,,,,,True,False,,10,0.8558,"224,35,36,147,34,134,61,145,168,152",0,0,False,False,2026-06-28T08:16:50.606625+00:00,False,224,存疑信息,存疑信息,False,False,False,False,False,False,True,
NEWS-EVAL-003,疑似谣言,可信新闻,84.8,True,,27066.71,,,,,,True,False,,10,0.825,"224,35,36,168,34,136,134,146,147,145",1,1,True,False,2026-06-28T08:17:18.680228+00:00,False,224,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-004,高风险谣言,高风险谣言,37.5,True,,21649.84,,,,,,True,False,,10,0.8224,"224,35,61,136,36,134,84,147,101,135",1,1,True,False,2026-06-28T08:17:41.349354+00:00,False,224,高风险谣言,高风险谣言,False,False,False,False,False,False,False,
NEWS-EVAL-005,可信新闻,可信新闻,96.0,True,,31896.23,,,,,,True,False,,10,0.7991,"225,101,82,242,60,84,145,13,64,81",1,1,True,False,2026-06-28T08:18:14.256537+00:00,False,225,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-006,存疑信息,疑似谣言,51.8,True,,19798.89,,,,,,True,False,,10,0.7635,"225,101,60,242,84,13,64,82,145,230",1,1,True,False,2026-06-28T08:18:35.062223+00:00,False,225,存疑信息,存疑信息,False,False,False,False,False,False,False,
NEWS-EVAL-007,疑似谣言,可信新闻,83.8,True,,21272.26,,,,,,True,False,,10,0.7584,"225,101,145,82,64,84,60,13,70,34",1,1,True,False,2026-06-28T08:18:57.344181+00:00,False,225,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-008,高风险谣言,疑似谣言,41.7,True,,20899.2,,,,,,True,False,,10,0.7411,"225,101,84,82,60,182,13,64,242,133",1,1,True,False,2026-06-28T08:19:19.256171+00:00,False,225,高风险谣言,高风险谣言,False,False,False,False,False,False,False,
NEWS-EVAL-009,可信新闻,可信新闻,93.5,True,,23588.16,,,,,,True,False,,10,0.8897,"226,239,146,233,72,145,235,38,65,208",1,1,True,False,2026-06-28T08:19:43.851195+00:00,False,226,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-010,存疑信息,疑似谣言,49.4,True,,21849.14,,,,,,True,False,,10,0.853,"226,146,239,72,69,65,233,235,26,25",1,1,True,False,2026-06-28T08:20:06.728751+00:00,False,226,存疑信息,存疑信息,False,False,False,False,False,False,False,
NEWS-EVAL-011,疑似谣言,可信新闻,80.0,True,,30656.5,,,,,,True,False,,10,0.8187,"226,146,65,90,145,36,35,72,239,91",0,0,False,False,2026-06-28T08:20:38.390876+00:00,False,226,疑似谣言,疑似谣言,False,False,False,False,False,False,True,
NEWS-EVAL-012,高风险谣言,疑似谣言,41.1,True,,28267.32,,,,,,True,False,,10,0.8438,"226,146,239,72,65,25,182,26,69,61",1,1,True,False,2026-06-28T08:21:07.663381+00:00,False,226,高风险谣言,高风险谣言,False,False,False,False,False,False,False,
NEWS-EVAL-013,可信新闻,可信新闻,93.6,True,,20279.0,,,,,,True,False,,10,0.8487,"227,82,87,7,9,81,200,168,84,149",1,1,True,False,2026-06-28T08:21:28.953923+00:00,False,227,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-014,存疑信息,可信新闻,80.0,True,,17330.35,,,,,,True,False,,10,0.844,"227,82,9,87,200,84,64,104,81,7",0,0,False,False,2026-06-28T08:21:47.293131+00:00,False,227,存疑信息,存疑信息,False,False,False,False,False,False,True,
NEWS-EVAL-015,疑似谣言,存疑信息,78.4,True,,25289.94,,,,,,True,False,,10,0.8022,"227,168,82,84,87,35,64,146,104,107",1,1,True,False,2026-06-28T08:22:13.591474+00:00,False,227,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-016,高风险谣言,疑似谣言,47.8,True,,14311.96,,,,,,True,False,,10,0.8192,"227,82,87,84,9,104,81,64,107,68",1,1,True,False,2026-06-28T08:22:28.913863+00:00,False,227,高风险谣言,高风险谣言,False,False,False,False,False,False,False,
NEWS-EVAL-017,可信新闻,可信新闻,91.7,True,,23362.18,,,,,,True,False,,10,0.8774,"228,66,64,67,33,230,38,199,160,65",1,1,True,False,2026-06-28T08:22:53.283851+00:00,False,228,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-018,存疑信息,疑似谣言,52.4,True,,22599.24,,,,,,True,False,,10,0.8186,"228,64,164,67,21,66,65,16,160,33",1,1,True,False,2026-06-28T08:23:16.889318+00:00,False,228,存疑信息,存疑信息,False,False,False,False,False,False,True,
NEWS-EVAL-019,疑似谣言,疑似谣言,48.6,True,,25584.91,,,,,,True,False,,10,0.8246,"228,66,64,33,65,164,67,16,30,160",1,1,True,False,2026-06-28T08:23:43.495430+00:00,False,228,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-020,高风险谣言,疑似谣言,48.9,True,,23712.48,,,,,,True,False,,10,0.8265,"228,64,66,33,67,16,21,160,65,230",1,1,True,False,2026-06-28T08:24:08.217404+00:00,False,228,高风险谣言,高风险谣言,False,False,False,False,False,False,False,
NEWS-EVAL-021,可信新闻,可信新闻,86.3,True,,26175.28,,,,,,True,False,,10,0.8465,"229,72,69,198,199,145,168,164,25,64",1,1,True,False,2026-06-28T08:24:35.400924+00:00,False,229,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-022,存疑信息,疑似谣言,57.4,True,,15985.24,,,,,,True,False,,10,0.871,"229,72,69,198,199,145,164,168,65,64",1,1,True,False,2026-06-28T08:24:52.397028+00:00,False,229,存疑信息,存疑信息,False,False,False,False,False,False,False,
NEWS-EVAL-023,疑似谣言,可信新闻,83.1,True,,27103.9,,,,,,True,False,,10,0.8688,"229,72,69,198,168,199,145,65,164,64",1,1,True,False,2026-06-28T08:25:20.507604+00:00,False,229,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-024,高风险谣言,疑似谣言,40.5,True,,24289.89,,,,,,True,False,,10,0.8537,"229,72,69,198,199,168,145,164,25,64",1,1,True,False,2026-06-28T08:25:45.806213+00:00,False,229,高风险谣言,高风险谣言,False,False,False,False,False,False,False,
NEWS-EVAL-025,可信新闻,可信新闻,88.6,True,,15429.29,,,,,,True,False,,10,0.8692,"230,64,67,30,65,163,221,16,1,160",1,1,True,False,2026-06-28T08:26:02.247185+00:00,False,230,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-026,存疑信息,疑似谣言,44.2,True,,29065.12,,,,,,True,False,,10,0.864,"230,64,67,30,65,221,16,163,13,160",1,1,True,False,2026-06-28T08:26:32.318888+00:00,False,230,存疑信息,存疑信息,False,False,False,False,False,False,True,
NEWS-EVAL-027,疑似谣言,存疑信息,75.9,True,,23379.22,,,,,,True,False,,10,0.8426,"230,64,30,65,67,221,33,35,160,16",1,1,True,False,2026-06-28T08:26:56.707244+00:00,False,230,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-028,高风险谣言,可信新闻,100.0,True,,30653.57,,,,,,True,False,,10,0.8607,"230,64,221,30,67,65,16,163,160,25",0,0,False,False,2026-06-28T08:27:28.370862+00:00,False,230,高风险谣言,高风险谣言,False,False,False,False,False,False,True,
NEWS-EVAL-029,可信新闻,可信新闻,88.7,True,,11882.42,,,,,,True,False,,10,0.8916,"231,87,64,30,221,98,164,37,25,145",1,1,True,False,2026-06-28T08:27:41.258349+00:00,False,231,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-030,存疑信息,疑似谣言,58.3,True,,27606.02,,,,,,True,False,,10,0.8773,"231,87,221,64,25,82,33,27,164,30",1,1,True,False,2026-06-28T08:28:09.871993+00:00,False,231,存疑信息,存疑信息,False,False,False,False,False,False,False,
NEWS-EVAL-031,疑似谣言,可信新闻,87.4,True,,27454.91,,,,,,True,False,,10,0.867,"231,87,64,169,221,33,25,164,30,168",1,1,True,False,2026-06-28T08:28:38.335310+00:00,False,231,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-032,高风险谣言,可信新闻,100.0,True,,30679.96,,,,,,True,False,,10,0.8881,"231,87,64,25,221,30,27,164,33,169",0,0,False,False,2026-06-28T08:29:10.025191+00:00,False,231,高风险谣言,高风险谣言,False,False,False,False,False,False,True,
NEWS-EVAL-033,可信新闻,可信新闻,93.5,True,,16348.51,,,,,,True,False,,10,0.9038,"232,124,242,187,183,184,186,93,50,123",1,1,True,False,2026-06-28T08:29:27.382070+00:00,False,232,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-034,存疑信息,疑似谣言,51.7,True,,29553.79,,,,,,True,False,,10,0.9111,"232,242,124,183,187,184,186,52,93,123",1,1,True,False,2026-06-28T08:29:57.945395+00:00,False,232,存疑信息,存疑信息,False,False,False,False,False,False,False,
NEWS-EVAL-035,疑似谣言,疑似谣言,43.9,True,,20596.02,,,,,,True,False,,10,0.8474,"232,107,184,164,64,187,145,183,124,52",1,1,True,False,2026-06-28T08:30:19.547204+00:00,False,232,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-036,高风险谣言,疑似谣言,40.6,True,,18311.01,,,,,,True,False,,10,0.8787,"232,184,187,183,186,82,124,64,93,33",1,1,True,False,2026-06-28T08:30:38.867568+00:00,False,232,高风险谣言,高风险谣言,False,False,False,False,False,False,False,
NEWS-EVAL-037,可信新闻,可信新闻,93.5,True,,11509.15,,,,,,True,False,,10,0.9215,"233,236,204,50,64,139,72,69,143,3",1,1,True,False,2026-06-28T08:30:51.387195+00:00,False,233,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-038,存疑信息,高风险谣言,36.3,True,,22226.97,,,,,,True,False,,10,0.8989,"233,236,64,72,69,50,84,14,204,3",1,1,True,False,2026-06-28T08:31:14.619379+00:00,False,233,存疑信息,存疑信息,False,False,False,False,False,False,False,
NEWS-EVAL-039,疑似谣言,可信新闻,86.3,True,,18987.29,,,,,,True,False,,10,0.9009,"233,236,64,72,69,204,22,14,3,143",1,1,True,False,2026-06-28T08:31:34.613918+00:00,False,233,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-040,高风险谣言,疑似谣言,42.8,True,,46618.39,,,,,,True,False,,10,0.9038,"233,236,64,50,72,69,198,84,14,204",2,2,True,False,2026-06-28T08:32:22.240964+00:00,False,233,高风险谣言,高风险谣言,False,False,False,False,False,False,False,
NEWS-EVAL-041,可信新闻,可信新闻,93.5,True,,16313.82,,,,,,True,False,,10,0.8581,"234,87,84,67,22,65,145,25,13,50",1,1,True,False,2026-06-28T08:32:39.564041+00:00,False,234,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-042,存疑信息,疑似谣言,45.6,True,,23433.35,,,,,,True,False,,10,0.8404,"234,87,84,65,67,13,25,22,145,206",1,1,True,False,2026-06-28T08:33:04.006272+00:00,False,234,存疑信息,存疑信息,False,False,False,False,False,False,False,
NEWS-EVAL-043,疑似谣言,可信新闻,93.5,True,,24359.49,,,,,,True,False,,10,0.8596,"234,65,67,25,87,22,84,28,145,35",1,1,True,False,2026-06-28T08:33:29.371715+00:00,False,234,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
NEWS-EVAL-044,高风险谣言,可信新闻,83.5,True,,28605.38,,,,,,True,False,,10,0.838,"234,25,22,84,87,65,67,13,166,28",1,1,True,False,2026-06-28T08:33:58.988132+00:00,False,234,高风险谣言,高风险谣言,False,False,False,False,False,False,False,
NEWS-EVAL-045,可信新闻,可信新闻,96.0,True,,15367.5,,,,,,True,False,,10,0.8783,"235,145,101,72,69,173,199,108,198,146",1,1,True,False,2026-06-28T08:34:15.363374+00:00,False,235,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-046,存疑信息,疑似谣言,50.6,True,,15851.89,,,,,,True,False,,10,0.8583,"235,101,145,173,72,69,146,152,164,108",1,1,True,False,2026-06-28T08:34:32.221296+00:00,False,235,存疑信息,存疑信息,False,False,False,False,False,False,False,
NEWS-EVAL-047,疑似谣言,可信新闻,80.0,True,,30637.38,,,,,,True,False,,10,0.8565,"235,101,146,173,145,72,164,212,69,152",0,0,False,False,2026-06-28T08:35:03.864589+00:00,False,235,疑似谣言,疑似谣言,False,False,False,False,False,False,True,
NEWS-EVAL-048,高风险谣言,可信新闻,100.0,True,,18136.86,,,,,,True,False,,10,0.8464,"235,101,72,173,69,146,25,145,164,182",0,0,False,False,2026-06-28T08:35:23.009068+00:00,False,235,高风险谣言,高风险谣言,False,False,False,False,False,False,True,
NEWS-EVAL-049,可信新闻,可信新闻,91.7,True,,25353.53,,,,,,True,False,,10,0.876,"236,233,64,15,210,242,145,216,33,239",1,1,True,False,2026-06-28T13:04:07.804594+00:00,False,236,可信新闻,可信新闻,False,False,False,False,False,False,False,
NEWS-EVAL-050,存疑信息,存疑信息,61.0,True,,27254.17,,,,,,True,False,,10,0.8657,"236,233,64,15,242,210,239,72,101,109",2,2,True,False,2026-06-28T13:04:36.065020+00:00,False,236,存疑信息,存疑信息,False,False,False,False,False,False,True,
NEWS-EVAL-051,疑似谣言,存疑信息,70.7,True,,20214.36,,,,,,True,False,,10,0.8378,"236,233,64,15,210,207,33,25,146,160",1,1,True,False,2026-06-28T13:04:57.287202+00:00,False,236,疑似谣言,疑似谣言,False,False,False,False,False,False,False,
